,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year.  Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy.  Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system.  Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
Employer Tax Number (Last 4 Digits),Employer Name,Total Number of Approved Petitions,Average Salary ($5),Beneficiary Degree/Diploma,
6818,ALTERNATIVES COUNSELING SVCS,D," 41,313",D,D
9283,FAMOUS HORSE INC,D," 106,000",D,D
2134,TRI-STAR OFFSET CORPORATION,D," 59,738",D,D
2751,CHARLEX INC,D," 85,000",D,D
2386,TISHCON CORP,D," 59,843",D,D
6149,QUEENS ECONOMIC DEVELOPMENT,D," 29,484",D,D
9429,LIBERTY HARDWARE MANUFACTURI,D," 60,570",D,D
1853,TEST RITE PRODUCTS CORP,D," 42,000",D,D
4137,FONAR CORPORATION,D," 56,076",D,D
7492,INDCORP FISCAL SERVICES INC,D," 43,160",D,D
2683,TAMRON USA INC,D," 60,000",D,D
2390,MAGNI-FLOOD INC,D," 62,400",D,D
4027,K LINE LOGISTICS USA INC,D," 44,637",D,D
7074,GREENMAN-PEDERSEN INC,D," 52,000",D,D
0844,LNK INTERNATIONAL INC,D," 60,000",D,D
7268,BRIC ARTS MEDIA BKLYN INC,D," 35,805",D,D
7969,ABALINE PAPER PRODUCTS INC,D," 63,748",D,D
8304,STONY BROOK RADIOLOGY ASSO U,D," 307,965",D,D
9757,CHILDRENS BIG APPLE EARLY CH,D," 27,465",D,D
3526,ALAN JORDAN M D P C,D," 105,000",D,D
6665,HASELSON INTL TRADING INC,D," 20,800",D,D
1221,HCI ACQUISITIONS CORP DBA AM,D," 90,750",D,D
6633,FINESSE EMBROIDERIES INC,D," 45,000",D,D
0096,STONY BROOK PSYCHIATRIC ASSO,D," 130,977",D,D
7364,MARCHON EYEWEAR INC,D," 110,000",D,D
2404,FDNY FOUNDATION INC,D," 65,000",D,D
9911,KC ENGINEERING & LAND SURVEY,D," 69,888",D,D
7252,METROPOLITAN DENTAL ASSOCIAT,D," 21,600",D,D
0266,VANDIS INC,D," 65,000",D,D
0268,WHITESTONE CONSTRUCTION CORP,D," 67,500",D,D
0414,LOGIC CONTROLS INC DBA BEMAT,D," 75,000",D,D
0887,OKUMA AMERICA CORPORATION,D," 90,000",D,D
2486,LIFETIME BRANDS INC,D," 75,000",D,D
6656,INTELLIGENT DATA SYSTEMS INC,D," 78,500",D,D
4365,HEALTHPLEX INC,D," 110,000",D,D
4905,INTL CENTER FOR JOURNALISTS,D," 41,200",D,D
6288,NITTO DENKO TECHNICAL CORPOR,D," 98,000",D,D
7573,FRACHT FWO INC,D," 110,000",D,D
3923,KLEIN MANAGEMENT SYSTEMS INC,D," 80,000",D,D
9496,BROOKLYN TECH ALUMNI FDN INC,D," 51,552",D,D
0483,LILKER ASSOCS CONSULTING ENG,D," 70,700",D,D
4209,KORG USA INC,D," 50,157",D,D
6535,DOMINGO GONZALEZ ASSOCIATES,D," 73,000",D,D
3425,HUMANSCALE CORP,D," 88,358",D,D
2180,PARUL PHARMACY,D," 34,892",D,D
3423,ATTRI ENTERPRISES INC,D," 60,000",D,D
0984,THE KOREAN CHANNEL INC,D," 26,999",D,D
0612,INTL TELEVISION BROADCASTING,D," 43,306",D,D
2364,TEXTILES FROM EUROPE INC DBA,D," 43,098",D,D
2159,206 TOURS INC,D," 55,000",D,D
9526,AMERICAN EXPRESS CENTURION B,D," 92,359",D,D
7976,AQUA SYSTEMS INC,D," 58,000",D,D
1549,ARTHUR ISAACSON AND COMPANY,D," 28,080",D,D
2862,RAND ENGINEERING & ARCHITECT,D," 92,200",D,D
7460,CERAMI & ASSOCIATES INC,D," 94,992",D,D
5034,J-LAB TECHNOLOGY INC,D," 75,000",D,D
5921,GLEN ISLAND CTR FOR NURSING,D," 64,750",D,D
5065,THE ROYAL CARE INC,D," 80,163",D,D
8781,CLEVER DEVICES,D," 61,800",D,D
1125,WALTER T GORMAN P E P C,D," 82,000",D,D
6269,V J TECHNOLOGIES INC,D," 85,862",D,D
8178,JOE S JEANS INC,D," 175,000",D,D
0893,INDEPENDENT RESOURCES NETWOR,D," 60,000",D,D
1853,VLS ALLEON DRUGS INC,D, 0,D,D
3383,S BARKAGAN MD DBA PK AVE URO,D," 75,000",D,D
5047,USA STUDIOS,D," 80,000",D,D
4487,A&M LOGOS INTERNATIONAL INC,D," 70,000",D,D
5662,SHOSTAKOVICH CULTURAL PRGM I,D," 17,160",D,D
5779,EMPIRE CONTROL ABATEMENT INC,D," 55,900",D,D
9993,ALSTOM TRANSPORTATION INC,D," 60,000",D,D
5879,FIRST QUALITY PRODUCTS INC,D," 70,000",D,D
7080,DART GLOBAL LOGISTICS INC,D," 56,000",D,D
3986,AIRTEK ENVIRONMENTAL CORP,D," 49,379",D,D
1034,SL DISCOUNT DISTRIBUTOR CORP,D," 27,560",D,D
8365,GRAF & LEWENT ARCHITECTS LLP,D, 27,D,D
9755,NAUSHIR I LALANI DENTAL PC D,D," 40,082",D,D
4494,EPPENDORF NORTH AMERICA INC,D," 75,000",D,D
0262,PEAK TIME TRAVEL & TOURS INC,D," 32,240",D,D
5305,CUSP DENTAL RESEARCH INC,D," 52,000",D,D
3325,INFOSYS INTERNATIONAL INC,D," 77,938",D,D
5155,HI TECH METALS INC,D," 44,366",D,D
6819,SHANTI PHARMACY CORP DBA SIL,D," 50,860",D,D
8939,PAPILLON RIBBON & BOW INC,D," 59,000",D,D
0868,MARY MCDOWELL FRIENDS SCHOOL,D," 80,000",D,D
3313,DOSHI DIAGNOSTIC IMAGING SVC,D," 56,000",D,D
4523,GLOBAL CARGO LOGISTICS LIMIT,D," 55,000",D,D
9068,SHARON ENGINEERING PC,D," 70,000",D,D
0504,SAINT ANNS SCHOOL,D," 75,000",D,D
2786,SHARP DECISIONS INC,D," 128,960",D,D
5092,DE PIETTO CPA PC,D," 55,000",D,D
7475,QUESOS LA RICURA LTD,D," 52,500",D,D
9716,M&M ENTERPRISES LTD DBA MOGH,D," 36,800",D,D
2361,MID ISLAND THERAPY ASSOCS LL,D," 34,980",D,D
5434,PENETRON INTERNATIONAL LTD,D," 55,000",D,D
5859,BROOKLYN CHINESE-AMERICAN AS,D," 23,000",D,D
1244,KEY INTL INC,D," 48,000",D,D
4216,BEST PHYSICAL THERAPY INJURY,D," 81,900",D,D
7522,KENSET CORPORATION,D," 43,680",D,D
1068,INTEGRATED DATA SERVICES INC,D," 73,000",D,D
1611,ROCKMORE CONTRACTING CORP,D," 80,000",D,D
8403,SOLOMON AGENCY CORP,D," 31,529",D,D
3623,PACO GROUP INC,D," 53,040",D,D
8464,BNNS CO INC,D," 69,600",D,D
1100,PAN-LINK INTERNATIONAL CORP,D," 37,440",D,D
4501,EASTERN MILLWORK INC,D," 125,000",D,D
8353,JT HWANG ENTERPRISES INC,D," 66,956",D,D
3949,JOHN H HATHEWAY JR ARCHITECT,D," 47,000",D,D
6840,CLIFFSIDE REHABILITATION CEN,D," 42,000",D,D
2900,PHOTONICS IDUSTRIES INTL INC,D," 80,898",D,D
3876,DIGICOM INTERNATIONAL INC,D," 33,410",D,D
5013,NEW DECORATIVE ART STUDIO IN,D," 63,500",D,D
7915,GASSMAN & GASSMAN CPA PC,D," 54,746",D,D
1422,SUMMERHILL LANDSCAPES INC,D," 65,000",D,D
5182,BROOKLYN BAR ASSOC VOLUNTEER,D," 50,000",D,D
7836,STAR SERVICE AUTO REPAIR INC,D," 31,419",D,D
9462,SUNGARD VPM INC,D," 100,000",D,D
9922,ENTERPRISE LIGHTING SALES CO,D," 75,000",D,D
4358,WORLDWIDE OCEAN & AIR SHIPPI,D," 45,200",D,D
7120,TJH MEDICAL SERVICES PC,D," 165,000",D,D
2874,PERFUME CENTER OF AMERICA IN,D," 53,830",D,D
8003,UNIVEST SECURITIES INC,D," 33,800",D,D
8464,ESTEE LAUDER TRAVEL RETAIL S,D," 75,000",D,D
1590,STEVEN BATASH MD PC,D, 48,D,D
2037,SANS CONSULTING SERVICES INC,D," 73,500",D,D
3351,D B E ELECTRIC CORP,D," 64,000",D,D
3390,PARTS AUTHORITY INC,D," 60,000",D,D
6075,MIHATA CORP,D," 20,800",D,D
7462,F D WORLDWIDE MERCHANDISE GR,D," 44,824",D,D
9978,LEHMANN MAUPIN,D," 60,000",D,D
4530,GERALD J CALIENTO ARCHITECT,D," 76,800",D,D
8493,THE NEW CHURCH OF GREATER NE,D," 22,714",D,D
8736,AR-TECH INTERNATIONAL INC,D," 42,000",D,D
0275,ADAMS EUROPEAN CONTRACTING I,D," 156,000",D,D
1176,MCDONALD AVE PAPER & PLASTIC,D," 60,000",D,D
7904,EAST MIDWOOD HEBREW DAY SCHO,D," 21,000",D,D
4021,SPORTIME CLUBS LLC,D," 35,100",D,D
6956,MDI CONSULTANTS INC,D," 65,000",D,D
1844,ZULCO INTERNATIONAL INC,D," 61,298",D,D
2206,ASA INST OF BUSINESS & COMPU,D," 46,500",D,D
4362,AJ WORLDWIDE SERVICES INC,D," 45,900",D,D
0080,ISLAMIC INSTITURE OF NEW YOR,D," 38,500",D,D
0257,HERZOG & LITTLE CPAS,D," 55,000",D,D
7848,BILINGUALS INC DBA ACHIEVE B,D," 70,000",D,D
5272,FUTURE TECH CONSULTANTS OF N,D," 62,275",D,D
5273,KRAVET INC,D," 110,000",D,D
8273,PARABIT SYSTEMS INC,D," 90,646",D,D
4647,TECHNICAL OPERATIONS INC,D," 27,492",D,D
9015,BPA INTERNATIONAL INC,D," 32,843",D,D
9315,MARG PHARMACY INC D/B/A KATZ,D," 59,384",D,D
1315,ARC ELECTRICAL & MECHANICAL,D," 114,400",D,D
4747,DYNAMITE DECORATORS INC,D," 32,500",D,D
8671,NEW METRO CONSTRUCTION,D," 49,788",D,D
9278,GENERAL DEVELOPMENT CORP DBA,D," 55,000",D,D
5935,ADVANCED DATA SYSTEMS INC,D," 96,000",D,D
8298,STOCKHOLM OB/GYN SVCS PC,D," 187,200",D,D
3329,DAVID SHIN CPA PC,D," 23,920",D,D
6689,NATIONAL MAINTENANCE SUPPLY,D," 28,000",D,D
4745,TAJ SOFTWARE SYSTEMS CORP,D," 100,000",D,D
4805,MAKE-UP ART COSMETICS INC,D," 65,000",D,D
0641,METROPOLITAN LEARNING INST I,D," 52,500",D,D
4581,WILEN PRESS LLC DBA WILEN DI,D," 90,000",D,D
4731,LE PARKER MERIDIEN NEW YORK,D," 65,000",D,D
2663,PARK SLOPE MEDICINE P C,D," 50,000",D,D
4566,EURO CARGO EXPRESS INC,D," 60,000",D,D
6138,R3 ENERGY MANAGEMENT AUDIT &,D," 62,462",D,D
7110,ADVANCED BARCODE TECHNOLOGY,D," 31,200",D,D
8713,KMC EXIM CORP,D," 38,897",D,D
8927,TECHNICO CONSTRUCTION SERVIC,D," 62,275",D,D
3170,ALLRAN ELECTRIC OF NY LLC,D," 95,000",D,D
5183,ACE GLOBAL TRADING LTD DBA C,D," 24,700",D,D
7432,EC INFOSYSTEMS,D," 55,245",D,D
2645,ATLAS COMMUNICATIONS TECH IN,D," 125,000",D,D
6629,WARP & WEFT CARPETS INC,D," 61,000",D,D
8526,NEDIA ENTERPRISES INC,D," 57,621",D,D
1288,RJ INDUSTRIES INC,D," 90,000",D,D
1932,SUMMITEK INC,D," 33,800",D,D
4594,CA TECHNOLOGIES INC,D," 98,000",D,D
5363,CONRAD CAPITAL MANAGEMENT IN,D," 41,808",D,D
4512,MPFP PLLC,D," 44,990",D,D
6733,CONTROL SOLUTIONS GROUP INC,D," 96,800",D,D
0072,ANGION BIOMEDICA CORP,D," 43,644",D,D
1192,MP JERVIS DONUTS INC,D," 54,288",D,D
3479,SSM DESIGN LLP D/B/A SPECTOR,D," 50,000",D,D
4293,INFOPEOPLE CORPORATION,D," 120,000",D,D
5013,KIWI PARTNERS INC,D," 65,000",D,D
5692,NATIONAL GRID USA SERVICE CO,D," 88,618",D,D
8192,CAMP TIOGA TIOGA VALLEY INC,D," 59,259",D,D
0066,CEDAR REALTY TRUST PARTNERSH,D," 65,000",D,D
3772,SWIMWEAR ANYWHERE INC,D," 110,250",D,D
4169,BAY RIDGE PREPARATORY SCHOOL,D," 60,684",D,D
4203,CURTISS WRIGHT FLOW CONTROL,D," 61,919",D,D
4243,QUESTA TECHNOLOGY INC,D," 66,000",D,D
6836,NEW YORK GARDEN CHURCH,D," 30,004",D,D
7273,PROVIDENCE CONSTRUCTION CORP,D," 66,880",D,D
4382,CYBER CONSULTING INC,D," 54,000",D,D
7571,INTL UNDERWRITING AGENCY INC,D," 35,019",D,D
0764,TOTAL NEURO CARE PC,D," 68,640",D,D
1324,S&K VEGETABLE CORP,D," 85,738",D,D
5690,NUHEALTH,D," 83,596",D,D
7444,ACCOUNTING AND TAX PLANNING,D," 170,000",D,D
7754,HIRANI ENGRG & LAND SURVEYIN,D," 65,000",D,D
1044,UTB-UNITED TECHNOLOGY INC,D," 80,000",D,D
2971,MANAGEMENT HEALTH SOLUTIONS,D," 110,000",D,D
4729,CONSUMER EVALUATION SYSTEMS,D," 125,000",D,D
3956,YANFENG CHEN PHYSICIAN PC,D," 88,691",D,D
4056,AMR CAPITAL TRADING CORPORAT,D," 67,205",D,D
1231,DEFINITIONS PERSONAL FITNESS,D," 62,400",D,D
1870,ELLIS OPHTHALMIC TECHNOLOGIE,D," 36,000",D,D
6300,SENO JEWELRY LLC DBA IPPOLIT,D," 48,000",D,D
6631,BOOKS & RATTLES INC,D," 27,456",D,D
8070,PL ENGINEERING PC,D," 60,278",D,D
8468,IVY ENTERPRISES INC,D," 47,000",D,D
3984,JACOBS MASONRY CORP,D," 55,850",D,D
5872,CHOICE PRODUCTS AND SERVICES,D," 118,855",D,D
9850,SEVEN TWO OPTICS CORP DBA CO,D," 104,000",D,D
1731,AJ GREENWICH CONTRACTING INC,D," 34,580",D,D
7098,ATM WORLD CORP,D," 51,025",D,D
9515,INTERCARGO LOGISTICS INC,D," 37,914",D,D
3123,FAIRVIEW HOME BUILDERS INC,D," 38,129",D,D
4171,DROBENKO & ASSOCIATES PC,D," 45,000",D,D
4338,DOUGLASTON DEVELOPMENT LLC,D," 80,000",D,D
6098,A PLUS COVERAGE INC,D," 35,750",D,D
9802,J & A USA INC,D," 52,312",D,D
2551,GENTLE DENTAL COLLINGDALE LL,D," 140,899",D,D
6350,TWOSEVEN INC,D," 56,160",D,D
0848,CORPORATE SOLUTIONS GROUP LL,D," 90,000",D,D
2448,CYPRESS RESTORATION CORP,D," 72,800",D,D
3433,FORMACTIV ARCHITECTURE DESIG,D," 41,600",D,D
5043,MADISON PHYSICAL THERAPY PC,D," 74,880",D,D
3329,BROOKLYN ITALIANS YOUTH SOCC,D," 70,000",D,D
7309,THERAPEUTIC PHYSICAL THERAPY,D," 63,700",D,D
3205,SKYLAND DEVELOPMENT CORP,D," 51,220",D,D
4194,KEMP TECHNOLOGIES INC,D," 120,000",D,D
5059,SMARTLINX SOLUTIONS LLC,D," 161,975",D,D
5705,LUFTHANSA SYSTEMS AMERICAS I,D," 80,000",D,D
5844,GETZEL SCHIFF & PESCE LLP,D," 55,000",D,D
3316,EI ELECTRONICS LLC DBA ELECT,D," 137,000",D,D
3627,IPSOS-INSIGHT LLC,D," 55,000",D,D
4699,GLOBAL EQUIPMENT COMPANY,D," 110,000",D,D
8933,XING YUN INTERNATIONAL TRADE,D," 80,000",D,D
3798,BELTRAN TECHNOLOGIES INC,D," 52,744",D,D
7216,FIRST GLOBAL XPRESS LLC,D," 85,000",D,D
8989,MODERN ACUPUNCTURE PC,D, 0,D,D
3110,EPIGNOSIS SPECIALTY PRACTICE,D," 53,872",D,D
7679,HAR MASPETH CORP,D," 65,000",D,D
8558,YELLOWSTONE PHYSICAL THERAPY,D," 40,469",D,D
0760,LENCO DIAGNOSTIC LABORATORIE,D," 47,000",D,D
1142,TTI OF USA INC,D," 114,660",D,D
1256,SREEPATHI PHARMACY INC,D," 140,000",D,D
2167,APRISA TECHNOLOGY LLC,D," 75,000",D,D
4388,GLOBAL ALLIANCE LOGISTICS IN,D," 37,544",D,D
5685,NAPA MANAGEMENT SERVICES COR,D," 180,000",D,D
8091,GABRIELLA IMPORTERS INC,D," 65,000",D,D
8691,EASTERN SECURITY SYSTEM INC,D," 39,000",D,D
1296,CUSTOM METALCRAFTERS INC,D," 95,000",D,D
2498,GENTLE DENTAL CENTER CITY LL,D," 117,000",D,D
3255,CATMAN AND MARY PRODUCTIONS,D," 60,000",D,D
4557,HASAN CHUNG DDS PA,D," 190,000",D,D
5918,PHAROS SYSTEMS INTERNATIONAL,D," 66,000",D,D
9580,EVENTSTAR STRUCTURES CORP,D," 35,859",D,D
0996,CLINIX MEDICAL INFO SVCS LLC,D," 42,457",D,D
2528,EFFEXOFT INC,D," 60,000",D,D
2046,OLAM AMERICAS INC,D," 185,000",D,D
5754,ASCENSUS,D," 98,076",D,D
6235,BEQUICK SOFTWARE INC,D," 70,000",D,D
6506,ENLINK MIDSTREAM OPERATING L,D," 151,500",D,D
6527,WFTV INC,D," 44,283",D,D
7205,USA FOOTBALL INC,D," 102,000",D,D
8289,W / K HOLDING COMPANY INC,D," 56,688",D,D
0618,WELLS PLUMBING & HEATING SUP,D," 49,000",D,D
0657,TRG MGT LP TRG DBA THE ROHAT,D," 125,000",D,D
0877,QUEMERE INTERNATIONAL LLC,D," 44,637",D,D
1852,VERDASYS INC,D," 125,000",D,D
4656,INVISION POWER SERVICES INC,D," 73,500",D,D
6191,FOVIA INC FORMERLY VOLUTRONI,D," 117,500",D,D
9657,EFFY & CO INC,D," 3,253",D,D
9944,UNILIFE MEDICAL SOLUTIONS IN,D," 115,000",D,D
3345,NEXVORTEX INC,D," 68,000",D,D
6504,VISION SOURCE LP,D," 82,000",D,D
7688,SEWON LLP,D," 27,560",D,D
8302,PULMONARY & SLEEP ASSOCIATES,D," 300,000",D,D
8390,TACHYS INC,D," 90,000",D,D
0290,ENVISIONS LLC,D," 81,494",D,D
0928,TOUSSAINT CAPTIAL PARTNERS L,D," 38,813",D,D
2599,PIKA INTERNATIONAL INC,D," 69,010",D,D
4069,STUART CONSULTING GROUP INC,D," 55,136",D,D
8191,NOVATECH PROCESS SOLNS LLC D,D, -,D,D
8910,ASCION LLC,D," 66,726",D,D
0654,WERIS INC,D," 58,000",D,D
3783,VOICELYNX INC,D," 54,413",D,D
3330,ROYAL & SUN ALLIANCE INSURAN,D," 172,759",D,D
6127,TYM USA INC,D," 45,000",D,D
7932,TECHNODEXTROUS LLC,D," 65,000",D,D
0743,GARDEN STATE PAIN & RADIOLOG,D," 58,000",D,D
4997,GAZILLION INC,D," 101,085",D,D
1366,QUALITY ELECTRODYNAMICS LLC,D," 74,000",D,D
3783,BLUESTONE ENERGY SERVICES LL,D," 75,000",D,D
8300,BROUGHTON CONSTRUCTION LLC,D," 52,656",D,D
1982,INSON DUBOIS WOOD LLC,D," 40,500",D,D
2593,MUELLER CO,D," 63,564",D,D
1502,MICHAEL SHERIDAN AND COMPANY,D," 102,500",D,D
7718,MARCH CHADWICK ARCHITECT DBA,D," 41,000",D,D
7995,GUIDANCETEK INC,D," 65,000",D,D
8910,COMMON GROUND PUBLISHING LLC,D," 108,610",D,D
9478,VINTAGE HEALTHCARE SVCS INC,D," 109,500",D,D
9687,GD COPPER USA INC,D," 43,805",D,D
0829,ESTABLISHED BRANDS INC,D," 45,000",D,D
6570,SMS TECH SVCS LLC FKA SMS ME,D," 88,275",D,D
8685,4DS INC,D," 97,200",D,D
5588,ML RESOURCES LLC,D," 80,000",D,D
0425,CHILDRENS HUT LLC,D," 24,898",D,D
0431,GOLDIES 2 LLC,D," 24,898",D,D
0886,MAZZEI INJECTOR CO LLC,D," 105,000",D,D
7249,CORE INGREDIENTS LLC,D," 50,274",D,D
8612,SHARE POINT INC,D," 87,194",D,D
3837,JINKOSOLAR US INC,D," 57,000",D,D
2676,SPIRENT COMMUNICATIONS INC,D," 109,348",D,D
4321,WESTCHESTER COUNTY HLTH CARE,D," 71,178",D,D
1789,TOP REHAB INC,D," 65,000",D,D
1968,EAST HAMPTON UNION FREE SCH,D," 93,102",D,D
2849,NORTH SHORE CENTRAL SCH DIST,D," 35,525",D,D
1424,CORNELL COOPERATIVE EXTENSIO,D," 55,692",D,D
3182,BEDFORD STUYVESANT RESTORATI,D," 82,000",D,D
7906,BROWNSON REHMUS AND FOXWORTH,D," 65,000",D,D
4155,COGNIZANT TECH SOLUTIONS US,D," 120,000",D,D
8630,TRC ENGINEERS INC,D," 80,000",D,D
7765,ADVERTISING RESEARCH FDN INC,D," 46,637",D,D
5246,CENTRAL NATIONAL-GOTTESMAN I,D," 165,000",D,D
8020,THE ALUMINUM ASSOCIATION INC,D," 73,650",D,D
9660,THE AMERICAN ACADEMY OF DRAM,D," 54,330",D,D
9745,AMERICAN ARBITRATION ASSOCIA,D," 145,000",D,D
6940,ANCHIN BLOCK & ANCHIN LLP,D," 70,000",D,D
5587,ARIZONA CHEMICAL COMPANY LLC,D," 107,747",D,D
5120,CHANEL INC,D," 80,000",D,D
4970,DOROTHY DRAPER & COMPANY INC,D," 42,000",D,D
4380,GRAYBAR ELECTRIC CO INC,D," 105,000",D,D
1986,IBM CORPORATION,D," 100,000",D,D
8080,NATIONAL UTILITY SERVICE INC,D," 89,750",D,D
9420,NEW YORK MEDICAL COLLEGE,D," 44,000",D,D
7876,RUDIN MANAGEMENT COMPANY INC,D," 39,000",D,D
9190,F SCHUMACHER & CO,D," 250,000",D,D
8367,SKY CHEFS INC,D," 70,000",D,D
0690,LPI INC,D," 118,000",D,D
2060,INTERNATIONAL FLAVORS & FRAG,D," 296,691",D,D
5820,CARL ZEISS INC,D," 57,586",D,D
4385,DAVIS & GILBERT LLP,D," 160,000",D,D
9446,SLCE ARCHITECTS LLP,D," 62,000",D,D
9933,HEINEKEN USA INC,D," 135,000",D,D
4570,MIB INC,D," 103,854",D,D
6081,NISOURCE CORPORATE SERVICES,D," 57,000",D,D
6763,DINERS CLUB INTERNATIONAL LT,D," 71,050",D,D
3829,THE AMERICAN SOCIETY FOR PRE,D," 118,800",D,D
3885,AMERICAN BIBLE SOCIETY,D," 113,300",D,D
3915,THE BREARLEY SCHOOL,D," 70,500",D,D
3965,COLLEGE ENTRANCE EXAMINATION,D," 115,000",D,D
4060,JEWISH CHILD CARE ASSOC OF N,D," 65,547",D,D
4067,THE JUILLIARD SCHOOL,D," 50,000",D,D
4087,METROPOLITAN OPERA ASSOCIATI,D," 52,000",D,D
4104,JEWISH COUNCIL FOR PUBLIC AF,D," 52,350",D,D
4124,THE NEW YORK HISTORICAL SOCI,D," 45,020",D,D
4169,THE FLOATING HOSPITAL INC,D," 130,000",D,D
4178,SELFHELP COMMUNITY SERVICES,D," 50,000",D,D
8401,1199 NATL BENEFIT FUND FOR H,D," 111,487",D,D
8504,UNITED NATIONS FEDERAL CREDI,D," 112,346",D,D
2500,MARYMOUNT SCHOOL OF NEW YORK,D," 81,591",D,D
2516,GREEK ORTHODOX ARCHDIOCESE O,D," 62,000",D,D
5303,RUSSELL SAGE FOUNDATION,D," 75,000",D,D
6308,HOEGANAES CORPORATION,D," 98,000",D,D
3975,UNITED HOME FOR AGED HEBREWS,D," 47,811",D,D
4054,THE PHILHARMONIC-SYMPHONY SO,D," 53,000",D,D
7053,AMERICAN INSTITUTE OF PHYSIC,D," 48,000",D,D
6350,FAIRVIEW COUNTRY CLUB INC,D," 35,000",D,D
3545,OLD OAKS COUNTRY CLUB INC,D," 80,000",D,D
5076,PHELPS MEMORIAL HOSPITAL CEN,D," 56,187",D,D
6345,RAB LIGHTING INC,D," 73,500",D,D
9066,SAFE FLIGHT INSTRUMENT CORPO,D," 70,000",D,D
7825,JOPAL BRONX LLC DBA WORKMENS,D," 70,000",D,D
9920,BETH ABRAHAM HEALTH SVCS/CEN,D," 110,000",D,D
0041,SHIELD OF DAVID INC DBA THE,D," 54,747",D,D
0110,LAWRENCE HOSPITAL CENTER,D," 87,027",D,D
0285,NYACK COLLEGE,D," 55,000",D,D
0301,PROVIDENCE REST NURSING HOME,D," 68,120",D,D
0468,MANHATTAN COLLEGE,D," 77,000",D,D
0483,RIVERDALE COUNTRY SCHOOL,D," 62,100",D,D
8024,JETRO JAPAN EXTERNAL TRADE O,D," 80,000",D,D
1359,AMSCAN INC,D," 104,000",D,D
2470,EDUCATIONAL RECORDS BUREAU I,D," 70,000",D,D
8875,INTL AIR TRANSPORT ASSOCIATI,D," 102,336",D,D
6161,MCKINSEY & COMPANY INC US,D," 169,000",D,D
4349,WORLD EDUCATION INC,D," 98,719",D,D
5573,DALE CARNEGIE & ASSOCIATES I,D," 44,637",D,D
3318,SAVILLS STUDLEY INC,D," 85,000",D,D
8723,ANTI DEFAMATION LEAGUE,D," 56,000",D,D
6375,COLTEC INDUSTRIES INC D/B/A,D," 78,000",D,D
0822,NEW YORK POWER AUTHORITY,D," 95,000",D,D
0029,ST HILDAS & ST HUGHS SCHOOL,D," 63,140",D,D
5030,SEQUA CORPORATION,D," 155,000",D,D
2598,KALLEN & LEMELSON LLP,D," 59,000",D,D
4019,ROCKLAND COUNTRY DAY SCHOOL,D," 48,960",D,D
1174,COSENTINI ASSOCIATES,D," 68,993",D,D
4464,WMF AMERICAS INC,D," 91,000",D,D
6574,NEW YORK CHIROPRACTIC COLLEG,D," 71,377",D,D
1089,KONICA MINOLTA BUS SOLNS USA,D," 111,568",D,D
2436,MEMORIAL SLOAN KETTERING CAN,D," 88,690",D,D
4155,COGNIZANT TECH SOLNS US CORP,D," 80,995",D,D
4326,MEMORIAL SLOAN KETTERING CAN,D," 42,000",D,D
8052,AMMANN & WHITNEY INC,D," 82,917",D,D
9857,ROSCO INC,D," 47,000",D,D
1627,VERA INST OF JUSTICE INC,D," 61,000",D,D
5157,HUDSON INSTITUTE INC,D," 60,000",D,D
1269,GERALD METALS LLC,D," 65,000",D,D
2940,GENERAL ELECTRIC INTERNATION,D," 87,000",D,D
3496,FEDERAL INSURANCE CO CHUBB G,D," 128,000",D,D
7321,MERCY COLLEGE,D," 59,000",D,D
1441,NIPPON EXPRESS USA INC,D," 56,856",D,D
4582,ASSOC FOR METROAREA AUTISTIC,D," 51,525",D,D
4950,LIRO ENGINEERS INC,D," 78,800",D,D
5018,KALGLAS INTERNATIONAL INC,D," 40,000",D,D
0209,WILLIS RE INC,D," 264,000",D,D
0892,DUGGAL VISUAL SOLUTIONS INC,D," 51,000",D,D
5476,BIPAC BUS INST FOR POLITICAL,D," 87,422",D,D
3602,E.S. ORIGINALS INC,D," 91,200",D,D
4506,JTB AMERICAS LTD,D," 52,000",D,D
7636,UNITED WAY OF WESTCHESTER &,D," 54,642",D,D
6405,THE DEPOSITORY TRUST & CLEAR,D," 98,000",D,D
3805,QUEENSBOROUGH COMMUNITY COLL,D," 64,956",D,D
8956,CHILDREN S TUMOR FOUNDATION,D," 85,000",D,D
2795,COLETTE MALOUF INC,D," 65,000",D,D
1829,AMDA INC,D," 25,038",D,D
2013,TOYOBO U S A INC,D," 35,000",D,D
3640,FUJITSU LTD WASHINGTON DC OF,D," 125,000",D,D
1923,ROCHE DIAGNOSTICS CORPORATIO,D," 225,000",D,D
2483,PASTERNAK BAUM & CO INC,D," 100,000",D,D
