"Approved H-2B Cap-Subject Beneficiaries by Employer Fiscal Year 2017


",,,,
"Source: USCIS, data as of October 31, 2017.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D. A dash represents zero. Employers without tax identification numbers in our system were excluded. While some company names may appear multiple times, USCIS enters data as listed on the petition and does not combine companies, even where the names are the same, because in all cases the employer tax identification numbers are different on the petition.",,,,
Employer Tax Number (Last 4 Digits),Employer Name,Number of Beneficiaries under the Regular Cap,Number of Beneficiaries under the Supplemental Cap,Total Number of Beneficiaries under the Cap
358,AS SERVICES LLC,D,-,D
2271,EDWIN R HARRIS SILVERSMITH INC,D,-,D
9217,STONEBRIDGE GOLF & COUNTRY CLUB OF,D,-,D
3175,CONARY COVE LOBSTER CO,D,-,D
3300,J BERNARD SEAFOOD & PROCESSING INC,D,-,D
3241,FV RESOLUTION LLC,D,-,D
2773,LUKKIN GROUP,D,-,D
5720,HARTSTONE INN INC DBA HARTSTONE IN,D,-,D
7327,HARTWELL HOUSE INN,D,-,D
8005,COOPER LANDSCAPING INC,-,D,D
4989,ACADIAN MAINTENANCE AND LANDSCAPE,D,-,D
7502,MIDISH CORP,-,D,D
6330,GLYNS MARINE INC,-,D,D
6623,THE OLD HARBOR INN,D,-,D
3137,YARDSCAPE LANDSCAPING & IRRIGATION,D,-,D
8971,NANTUCKET PERIWINKLE INC,-,D,D
5911,DAVENPORT ENTERPRISES INC,D,-,D
7846,D GONZALEZ LANDSCAPE INC,D,-,D
267,VILLAGE HARDWARE,D,-,D
4014,ISLAND DESIGN AND LANDSCAPING INC,D,-,D
611,MGD HORTICULTURAL SERVICES INC,D,-,D
8175,A MARINUCCI CONTRACTING,D,-,D
2510,TARA GARDENS INC,D,-,D
622,HUTCHISON LANDSCAPE SERVICES,D,-,D
1042,JIM FIELD AND SONS INC,D,-,D
5175,LAKESIDE LAWN AND LANDSCAPING,D,-,D
2421,SKIWORLD LTD US,D,-,D
8906,ROSSI LANDSCAPE INC,D,-,D
7345,TRADE WINDS FARM TAC LLC,D,-,D
8056,STONEGATE LANDSCAPE CONSTRUCTION I,D,-,D
135,B METCALF ASPHALT PAVING INC,D,-,D
9604,INFLORESCENCE INC DBA FELICITYS FL,D,-,D
9304,A PERFECT LAWN LLC,-,D,D
1874,FERNANDO GARFIAS LANDSCAPING INC,D,-,D
1020,ANDREW ZUCKERMAN STUDIO INC,D,-,D
213,WEIGEL CONSTRUCTION LLC,D,-,D
7416,LUXESCAPES LLC,D,-,D
6649,JN CORCORAN INC,D,-,D
7921,Y & E LLC,D,-,D
4265,LIBERTY LAWN & LANDSCAPING INC,D,-,D
7579,GREAT SOUTHERN EVENTS,D,-,D
4131,GALVANS LAWN AND LANDSCAPE,-,D,D
3458,DECA CONSTRUCTION INC,D,-,D
8790,RODNEYS LANDSCAPING,D,-,D
1330,TRUE FORM CONTRACTING,-,D,D
1839,A NEW IMAGE LANDSCAPE INC,-,D,D
9725,BAY VILLAGE INC,D,-,D
7876,SCOTT L WILSON LANDSCAPE & TREE SP,D,-,D
174,FARMSIDE LANDSCAPE & DESIGN INC,-,D,D
4257,LAMBERT LANDSCAPING,D,-,D
8284,CRYSTAL LAKE LANDSCAPING INC,D,-,D
3998,RICHARD J FIESSER DBA SPRING VALLE,D,-,D
3794,R-P NURSERIES,D,-,D
3076,BRYN MAWR LANDSCAPING CO INC,D,-,D
8401,P A BLAKLEY CONTRACTING INC,D,-,D
8509,ALL TYPE FENCE COMPANY INC,D,-,D
4920,ABOVE ALL MASONRY DESIGN INC,D,-,D
3049,BERA & SON LANDSCAPING INC,D,-,D
9079,SPRING CREEK NURSERY,-,D,D
3817,BROWN RACING STABLE INC,D,-,D
8199,SUMMERHILL PLANT HEALTH CARE,D,-,D
571,LAS BONITAS INC DBA SENORITA BONIT,D,-,D
7421,BEDNERS FARM & GREENHOUSE INC DBA,D,-,D
6970,B DUSENBURY ENTER PRISES,-,D,D
1251,NATURALLY GREAT FOODS INC,D,-,D
7516,TYSON LANDSCAPING LLC,-,D,D
8602,ALFONSO GOMEZ DBA GOMEZ LAWN CARE,D,-,D
5205,CHILTONS LAWN AND MAINTENANCE LLC,D,-,D
4523,CELSO LANDSCAPING INC,-,D,D
2980,HEADRICK LANDSCAPE LLC,D,-,D
1696,EL PATRON UNIONTOWN MEXICAN GRILL,-,D,D
2355,USA TRUCK AND TRAILER SUPPLY,D,-,D
3283,VINSON LANDSCAPING INC,D,-,D
6577,HUDSON HOLDINGS LLC DBA TURFS UP,D,-,D
2938,LENOS PLANT FARM INC,D,-,D
9438,WOODGROVE FARM,D,-,D
5645,EL NOPAL MEXICAN CUISINE FAMILY RE,D,-,D
5220,CAVES ROAD CONSTRUCTION CO,D,-,D
7046,EVERGREEN LANDSCAPES INC,D,-,D
5793,HUGHES LANDSCAPE INC,D,-,D
4583,THE MOWER MEDIC INC D/B/A SPRINKLE,-,D,D
5977,SECATOGUE PROPERTY CARE,D,-,D
2080,NORTHMOOR COUNTRY CLUB,D,-,D
7360,GIAMETTA & SONS LANDSCAPING INC,D,-,D
4989,ALFREDO S LANDSCAPING INC,D,-,D
6115,NICHOLS EROSION CONTROL INC,D,-,D
905,BO MAR ENTERPRISES INC,D,-,D
503,LOUISIANA SOCCER CLUB,D,-,D
6966,THOMPSON CONSTRUCTION,-,D,D
8045,TORRES BROTHERS LANDSCAPING IN,D,-,D
5245,COUNTRY ACRES LANDSCAPING LLC,D,-,D
5466,GARDENS AND GROUNDS LLC,D,-,D
423,VICTORIA ROSE INC,-,D,D
428,MASTER KEN INC,-,D,D
9065,GREEN BOYS LAWNCARE INC,-,D,D
2006,BOWD HOTELS LLC DBA SALT HOUSE INN,D,-,D
1015,RH INN LLC DBA RED HORSE INN,D,-,D
5326,THE YARD BUTLER,D,-,D
6116,MASSEY MASONRY LLC,D,-,D
3976,JUAN HUERTA DBA EVER GREEN LAWN SE,D,-,D
3495,GRASSMASTERS LANDSCAPE & IRRIGATIO,D,-,D
4801,LATITUDE LAWN CARE LLC,D,-,D
352,TRADE WINDS FARM SE LLC,D,-,D
6791,HELIWILD LLC,D,-,D
3820,TRADITIONAL LANDSCAPING & DESIGN L,D,-,D
4009,SOCCER EDGE LLC,D,-,D
2511,SPEEDY GONZALEZ LANDSCAPING & MORE,D,-,D
7681,UNION RIVER LOBSTER POT RESTAURANT,-,D,D
1524,BENT PINE LANDSCAPING LLC,D,-,D
2911,ANA P PEREZ LLC DBA SUNSHINE GROWE,D,-,D
7156,LAKE TRAVIS STONE & CONCRETE,-,D,D
3794,MASTER GM INC,D,-,D
459,A PIZANO IRRIGATION SYSTEMS INC,D,-,D
6459,DELAWARE VALLEY SEPTIC LLC,D,-,D
6505,PALACIOS FISHERIES INC DBA CAPT AR,-,D,D
603,TEXAS FISHERIES INC DBA MISS DANIE,-,D,D
2077,ROBERT GARY PATRICK,-,D,D
9758,OPIE S LAWN MAINTENANCE LLC,D,-,D
564,SWIFT STAR INVESTMENTS LLC FOR SWI,D,-,D
4345,HECTORS MOWING,D,-,D
3546,CANTY MASONRY CORPORATION,-,D,D
4463,APGAR TURF FARM INC,D,-,D
9945,FREDERICKSBURG AREA SOCCER ASSOC I,D,-,D
2718,NATURES ARTISANS LLC,D,-,D
6953,SEASONAL LANDSCAPES,-,D,D
5757,PIPERS LANDING INC,D,-,D
1173,GREENBRIER GOLF & COUNTRY CLUB,D,-,D
8521,PATRICK COOPER PAINTING CONTRACTOR,D,-,D
9143,LANDSCAPE MANAGEMENT SYSTEMS INC,D,-,D
1350,TEXAS STAR LANDSCAPES LLC,D,-,D
9677,LITTON LANDSCAPES LLC,D,-,D
1269,RICE BELT DISTRIBUTORS INC,D,-,D
6188,SOUTHWOOD LANSCAPE & NURSERY,-,D,D
7647,SAINT JAMES CLUB ASSOCIATION,D,-,D
2040,MALDONADO LANDSCAPING,D,-,D
4038,ROGER HANSEN DBA AWESOME LAWN CARE,D,-,D
2926,LADY TONI INC,-,D,D
2930,LITTLE KEN INC,-,D,D
1286,MICKIEWICZ ARBOR EXPERTS LLC,D,-,D
2838,REDS LANDSCAPING & CONSTRUCTION IN,D,-,D
1009,RAY TRACY RACING,D,-,D
9833,PETER MARRA LANDSCAPE CONTRACTOR,D,-,D
2528,LAKESHORE LANDSCAPING LLC,D,-,D
5998,SAMSON LANDSCAPE & SUPPLY LLC,D,-,D
4259,LONG SUMMERS LANDSCAPING,-,D,D
3528,ACRES WEST EQUESTRIAN CTR INC,D,-,D
5108,RAMIROS TREE SERVICE INC,D,-,D
9634,DOUBLE M ASPHALT & COATINGS INC,-,D,D
1621,SECOND NATURE LANDSCAPES LLC,D,-,D
8550,GAMMEX LLP,D,-,D
1672,PENINSULA EQUINE INC,D,D,D
2304,ISOLA STABLES INC,D,-,D
776,PHOENIX BRAZAS SOCCER CLUB INC,D,-,D
7256,LEGUME MATRIX LLC,D,-,D
1250,JUPITER GOLF CLUB DBA TRUMP NATION,D,-,D
7950,STERLING SUGARS LLC,D,-,D
2626,JONATHANS INC,-,D,D
5597,GREY HAVENS INN,D,-,D
4771,NATURAL CYCLE LANDSCAPING INC,D,-,D
2158,PREMIER GETAWAY INC DBA MANOR ON G,-,D,D
552,SOUTHERN VERMONT ORCHARDS INC DBA,-,D,D
5000,BRAE BURN COUNTRY CLUB,D,-,D
5810,HYANNISPORT CLUB,D,-,D
831,QUEEN ANNE INN INC,D,-,D
5818,RICHIES KING OF SLUSH MFG CO INC,D,-,D
1419,BY THE SEA GUESTS LLC DBA BY THE S,-,D,D
7793,SALT WATER SVCS INC DBA CHATHAM BO,D,-,D
6610,RIVER RUN FARM LLC,D,-,D
4640,FRESH MEADOW COUNTRY CLUB INC,D,-,D
5834,HARTMAN BRINEY BREEZES MOTEL,D,-,D
683,ALFIERI PAINTING & DECORATING INC,D,-,D
8887,ANTHONY MICHAEL LANDSCAPING,D,-,D
1162,HOME MAINTENANCE LAWN CARE INC,D,-,D
2684,CRAIG JAMES SOCIA GARDEN DEISGN,D,-,D
9717,FIRST BLUE LLC,D,-,D
6851,COTSWOLD HOLDINGS LLC,-,D,D
8646,TOTAL LAWN MANAGEMENT LLC,D,-,D
1021,MELENDEZ FOOD VENDOR,D,-,D
2579,LAVENDER BY THE BAY,D,-,D
3084,CABANA LATINA INC,D,-,D
6307,MISS HILARY INC,-,D,D
7039,TRAWLER SHRIMP TEXAS I INC,-,D,D
7197,TRAWLER CHRISTIAN G INC,-,D,D
7540,CAPT EDWARDS INC,-,D,D
3347,ROOTS ETC INC,D,-,D
202,SPRING HOME AND GARDEN CORP,D,-,D
9146,RIGGS LANDSCAPING,D,-,D
6204,AZTECA LAWN SERVICE INC,D,-,D
7916,JOSE FLORES LANDSCAPING INC,D,-,D
3073,THE COOK & WOLF CORP DBA OLD STONE,D,-,D
4149,OMEGA LAWN SERVICES INC,D,-,D
6150,DELACOUR STABLE LLC,D,-,D
673,LBI RECREATIONAL CTR INC DBA THUND,D,-,D
3149,EAST COAST IRRIGATION INC,D,-,D
1794,SOCCER CTRS LLC DBA TOTAL DUTCH FI,D,-,D
58,DC MOWING SERVICE LLC,D,-,D
7625,STATE ROAD BUILDERS CO INC,D,-,D
2355,BELLOS COPING & TILE LLC,D,-,D
7065,J V BALAS REALTY PARTNERSHIP,D,-,D
1338,WILLIAM D CONWELL INC,D,-,D
4569,VICIO INC DBA VICTORS,D,-,D
5273,MATHIS OUTDOORS INC,D,-,D
957,ELITE GREEN LANDSCAPE & DESIGN INC,D,-,D
8945,PSM LLC DBA PEARL STREET MARKET,D,-,D
5681,CATHERINES CLEANING LLC,D,-,D
5230,LITTLE HOUSE CAFE INC,D,-,D
4124,QUICK STEEL FABRICATION INC,D,-,D
9531,COUSLAND SCAPES INC,-,D,D
3055,CP MULCH AND MAINTENANCE LLC,-,D,D
7954,THREE OAKS LAWN MAINTENANCE,D,-,D
9858,MAGNOLIA LANDSCAPING INC,D,-,D
3657,INN AT SUNRISE POINT LLC,D,-,D
8404,ABBEY VILLA SOCCER CLUB LTD,D,-,D
3721,TRAWLER MISS EMILY INC,-,D,D
3722,CAPT NICHOLAS INC,-,D,D
3723,CAPT EDDIE INC,-,D,D
3725,CAPT LUCAS INC,-,D,D
7922,TRIBUZZO LANDSCAPING INC,D,-,D
5809,WALTON LAWN CARE,-,D,D
1295,ALOTA SAND & GRAVEL INC,D,-,D
3000,FARMERS UNION OIL CO OF MOHALL,D,-,D
9482,INFINITY LANDSCAPE & ASSOC INC,D,-,D
6080,BO SPENCE CONSTRUCTION LLC,D,-,D
28,SUPERIOR SIDING & CONSTRUCTION INC,D,-,D
4549,LOUISIANA TURF OF ACADIANA,-,D,D
3640,TAH ENTERPRISES INC DBA HUMES LAND,D,-,D
5593,CROSSROADS CONSTRUCTION,D,-,D
4374,SUBCOMM LLC,D,-,D
9474,RCB VENTURES LLC DBA TRI TEX GRASS,-,D,D
521,C&B LAWNCARE LLC,-,D,D
1182,PERSPECTIVES LANDSCAPE LLC,D,-,D
857,SHP BARN LLC,D,-,D
9408,LA BAHIA LATINA INC DBA CABANA LAT,D,-,D
2158,EAST TEXAS LANDSCAPING AND FENCING,D,-,D
39,RIVERSIDE LANDSCAPING,D,-,D
3453,LIMESTONE LAWN & LANDSCAPE INC,D,-,D
9111,THE HARBORSIDE MOTEL & GIFT SHOP I,D,-,D
2536,ARBORCREST GARDENS INC,D,-,D
9172,MARK EDWARD CASSE DBA CASSE RACING,D,-,D
1177,LOWE POOLS INC,D,-,D
7822,MAPLE INN LLC,-,D,D
9596,PALM BEACH EQUINE CLINIC LLC,D,-,D
3114,SANDRA G INC,-,D,D
3119,CAPT BUBBA INC,-,D,D
3125,TRAWLER SANTA MARIA INC,-,D,D
3128,MARIAH LYNN INC,-,D,D
3132,SABRINA MARIE INC,-,D,D
14,A-1 LAND CARE INC,D,-,D
2851,THE BEACON HILL ASSOCIATION INC,D,-,D
6454,K L BLANKENSHIP LLC,-,D,D
1417,THOMAS G INC,-,D,D
2509,FROGGIES BAIT DOCK,-,D,D
9069,SEA KIRK INC,-,D,D
7051,LIGHTHOUSE FISHERIES INC,-,D,D
744,ART N RED INC,-,D,D
7252,KUNZ AND SAUER FENCING LTD,-,D,D
4554,PURATA TRAWLERS INC,-,D,D
2921,CAPT MARCUS INC,-,D,D
2932,JOSH & JAKE INC,-,D,D
2933,KELLY MARIE INC DBA CAPT ANTHONY,-,D,D
2936,MISS ADRIANNA INC,-,D,D
3111,REFINERY SPECIALTIES INC,-,D,D
2039,MRS MINA INC,-,D,D
2179,COUNTRY VIEW NURSERY LLC,D,-,D
1264,SANDKNOP FAMR ENTERPRISES LLC,D,-,D
8976,MCALLISTER INN INC DBA COMFORT INN,-,D,D
9113,NORTH STAR COOP,D,-,D
8669,SUMMERHILL ESTATE CARE LLC,D,-,D
656,HARI HOSPITALITY INC DBA TIDEWATER,D,-,D
1027,LYLA BELLE INC,-,D,D
2434,KEVIN RYAN POOL SERVICES LLC,D,-,D
1520,WAGNER & CO LANDSCAPE CONSTRUCTION,D,-,D
8652,CRUSTY CRAB LLC,-,D,D
4232,THUMBS UP FARM LTD,D,-,D
5187,MIKE EDRICK STABLES INC,D,-,D
6840,ALMA PLANTATION LLC,D,-,D
3862,LARSON GRAIN CO,D,-,D
5302,ACE ORLANDO LLC,D,-,D
3167,ANGLERS CLUB MEMBERS ASSOC INC DBA,D,-,D
4599,WHITE CASTLE FERTILIZER COOP,D,-,D
9155,DANIEL S FOODS INC DBA MIRABELLE A,D,-,D
6562,AMERITEK INDUSTRIES,D,-,D
4971,CO SKI SVC DBA VISTA BAHN SKI RENT,D,-,D
2603,ELLIOTT S AMUSEMENTS LLC,D,-,D
6218,IMPACT GROUNDS MAINTENANCE & DESIG,D,-,D
7380,ROBERT E OTTO INC,D,-,D
6668,JTENINC,D,-,D
2598,REISDORFF-PARKER LANDSCAPE DESIGN,D,-,D
633,HIDDEN BROOK FARM LP,D,-,D
6568,JOHN SOMMAVILLA LAWN IRRIGATION IN,D,-,D
9893,D AGOSTINO LANDSCAPING,D,-,D
8529,GUNNISON LAKESHORE ORCHARDS INC,-,D,D
1761,A-LINE TECHNOLOGIES INC,D,-,D
2076,MOSCARINO OUTDOOR CREATIONS INC,D,-,D
4881,CHASE PAINTING,D,-,D
9327,FIVE STAR PROPERTIES INC,D,-,D
9873,A & L CERTIFIED ROOFING LLC,-,D,D
2882,ESTATES LANDSCAPING INC,D,-,D
4308,WINDWALKER ENTERPRISES LTD DBA CHA,D,-,D
3376,EURO SNACK INC,D,-,D
2558,PEREZ LANDSCAPING INC,D,-,D
950,7K RANCH LLC,D,-,D
2875,AMERICAN SEAFOODS CO LLC AS AGENT,D,-,D
5797,FOLEYS LAWN CARE INC,D,-,D
459,EQUINIMITY LLC,D,-,D
7158,DG HARDSCAPES & DESIGNS INC,D,-,D
9747,GOLDEN EAGLE LAWN CARE,D,-,D
6391,LOFTCO LLC,D,-,D
1179,LEJUENE AERIAL APPLICATIONS LLC,D,-,D
1531,QUINN S LANDSCAPE,D,-,D
1635,MONTAUK FLIGHTHOUSE LLC,D,-,D
8321,JBK LANDSCAPE LLC,D,-,D
4483,CCS LANDSCAPING INC,D,-,D
450,RANGEL PRO LANDSCAPING LLC,D,-,D
6137,DESERT MOUNTAIN CLUB INC,D,-,D
2126,SIMPLY GREEN LAWNCARE,D,-,D
6154,TWIN PONDS NURSERY,-,D,D
6498,MCBIRD LLC DBA MOUNTAIN VIEW HOTEL,D,-,D
8902,OAKLEAF TREEWORKS INC,D,-,D
8925,ANTHONY DIBIASI LANDSCAPING,D,-,D
6574,TURFSCAPE CO INC,D,-,D
2310,WD LANDSCAPE CONSTRUCTION INC,D,-,D
841,ROSBY RESOURCE RECYCLING INC,D,-,D
4220,DIGGIN LANDSCAPING INC,D,-,D
1354,MORTON S LANDSCAPE DEVELOPMENT CO,D,-,D
9542,RODRIGUEZ YARD CARE INC,D,-,D
2902,DEAN S LAWN & LANDSCAPING,D,-,D
6405,BAM TURF CO DBA BAM OUTDOOR INC,D,-,D
9084,BIRMINGHAM LAWN MAINTENANCE,D,-,D
3867,WINDERMERE HOTEL INC,-,D,D
7174,RUSHLOW S ARABIANS INC,D,-,D
8091,SEASONS FOUR,-,D,D
3790,MID STATES LAWN CARE LLC,D,-,D
7631,PATH CONSTRUCTION LLC,D,-,D
5819,WHOLESALE AG PRODUCTS,D,-,D
7436,ANDERSON WESTERN INC,-,D,D
6586,HEATHER S HOUSEKEEPING LLC,D,-,D
348,BENCHMARK HOSPITALITY OF WY DBA SN,D,-,D
1535,SIMPLICITY PAINTING INC,D,-,D
9931,GR GARDENS LLC,D,-,D
7288,MEGAS YEEROS LLC,D,-,D
599,COLONIAL INN OPS LLC DBA COLONIAL,-,D,D
3187,LEROY LOS ANGELES CO DBA TOM GEORG,D,-,D
4646,NORTH TENTH & KENT RISTORANTE LLC,D,-,D
7728,COVE SPRINGS LLC,D,-,D
1247,2150 CO,D,-,D
1194,FORTEC FORESTRY INC,D,-,D
1061,CASEYS LAND CARE COMPANY LLC,D,-,D
4384,CHICKAHOMINY RECREATIONAL PK DBA E,-,D,D
756,GRAY CAP ENTERPRISES LLC,D,-,D
4636,QUAIL CREEK COUNTRY CLUB INC,D,-,D
4912,BEL-MAR FARM,D,-,D
5431,VINTAGE LANE LLC,D,-,D
2559,CARMENS LANDSCAPING DESIGNS INC DB,D,-,D
1648,HOLTICULTURE SVCS LLC,D,-,D
6368,ST VINCENT ANDREW INC,-,D,D
7211,GONZALEZ WELDING AND FENCING CONTR,-,D,D
4388,EVANS MIDLAND EMPIRE SHOWS INC,D,-,D
2043,FATHER CASIMIR INC,-,D,D
3746,INDIVIDUAL EMPLOYER,D,-,D
6699,INDIVIDUAL EMPLOYER,D,-,D
3819,MD NURSERY & LANDSCAPING INC,D,-,D
8743,FARLAND INC DBA FARLAND PROVISIONS,-,D,D
2283,GREEN SPOT INC,D,-,D
7384,LIFESCAPE ASSO INC DBA LIFESCAPE C,D,-,D
2226,MORNING MIST SPRINKLERS & LANDSCAP,D,-,D
8847,CONSOLIDATED DIVISIONS INC,D,-,D
8792,SKI & SNOWBOARD CLUB VAIL,D,-,D
2693,CLEARWATER SUMMIT GROUP INC,D,-,D
3210,ALASKA PREMIER CHARTERS INC D/B/A,D,-,D
4633,CARRABASSETT VALLEY ACADEMY,D,-,D
7855,PINNACLE ALPINE SKI RACING CLUB,D,-,D
3241,BAY AREA SOCCER LEAGUE,D,-,D
6062,OMAHA TRUCK CENTER INC,D,-,D
9058,LINDROTH DESIGN CORP,D,-,D
4923,VILLAZZO LLC,D,-,D
9060,BOCA BAY PASS CLUB - BUSSERS OOC,D,-,D
9060,BOCA BAY PASS CLUB INC COOKS OOC,D,-,D
3001,M A PATOUT & SON LTD,D,-,D
3881,INDIVIDUAL EMPLOYER,D,-,D
9158,HANS IM GLUECK INC,D,-,D
4746,GATEWAY EXHIBIT SVCS INC,D,-,D
8706,HOUSEHOLD EMPLOYER,D,-,D
6829,CRYSTAL FALLS SPIRITS LLC DBA TENN,D,-,D
335,THE WESTMARK GROUP LLC,D,-,D
2677,FARMO FOOS INC DBA BELFIORE CHEESE,D,-,D
387,KIM & KIM CPA S INC TACOMA,D,-,D
3718,TAPAS BITES LLC,D,-,D
Not Yet Entered Into System,,170,37,207
,Grand Total,"79,596","12,294","91,890"
,,,,
"Approved H-1B Cap-Subject Beneficiaries by Job Code, Fiscal Year 2017",,,,
"Source: USCIS, data as of October 31, 2017. Notes: Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D. ",,,,
Job Code,Number of Beneficiaries under the Regular Cap,Number of Beneficiaries under the Supplemental Cap,Total Number of Beneficiaries under both the Regular and Supplemental Caps,
Agricultural/Horticultural Worker,"41,782","3,852","45,634",
"Handlers, Helpers, & Laborers","7,542","1,864","9,406",
Food Service,"6,217","1,524","7,741",
Building Service,"4,488",750,"5,238",
Forestry and Logging Worker,"6,181",374,"6,555",
"Fisher, Hunter, Trapper","1,566","1,314","2,880",
Construction Trades,"2,293",835,"3,128",
Precision Production,"2,850",517,"3,367",
Personal Service,"1,921",526,"2,447",
Athletes & Related Workers,"1,468",76,"1,544",
Social/Religious/Rec Worker,"1,147",51,"1,198",
Health Service,381,D,H,
Transportation/Material Moving,395,D,H,
Machine Operator,294,44,338,
Marketing & Sales,158,29,187,
Extraction,158,25,183,
Administrative Support,107,D,H,
Mechanics & Repairers,24,54,78,
Private Household Servant,59,12,71,
Protective Service,21,26,47,
Other Types of Performers,38,D,H,
Occupation Not Reported,D,D,D,
Health Technician,D,D,D,
Executives & Managers,D,D,D,
"Actor, Actress, Director",D,D,D,
"Writer, Technical Writer",D,D,D,
"Pharmacist, Dietician",D,D,D,
Science Technician,D,D,D,
Management Support,D,D,D,
"Accountant, Auditor",D,D,D,
Engineer - specialty not list,D,D,D,
Child Care Worker - Private,D,D,D,
Not Yet Entered Into System,475,402,877,
Grand Total,"79,596","12,294","91,890",
,,,,
"Approved H-2B Cap-Subject Beneficiaries by Petitioner's State, Fiscal Year 2017

",,,,
"Source: USCIS, data as of October 31, 2017.  Notes:  The state information represents the state where the petitioning employer listed their office and may not reflect the state where the work was actually performed. Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D.  A dash represents zero. Employers without tax identification numbers in our system were excluded. ",,,,
State,Number of Beneficiaries under the Regular Cap,Number of Beneficiaries under the Supplemental Cap,Total Number of Beneficiaries under both the Regular and Supplemental Caps,
ALABAMA,"1,076",30,"1,106",
ALASKA,34,430,464,
ARIZONA,"2,004",212,"2,216",
ARKANSAS,"1,177",449,"1,626",
CALIFORNIA,859,201,"1,060",
COLORADO,"4,967",491,"5,458",
CONNECTICUT,82,31,113,
DELAWARE,188,28,216,
FLORIDA,"4,215",370,"4,585",
GEORGIA,"3,695",227,"3,922",
HAWAII,-,-,-,
IDAHO,"1,128",54,"1,182",
ILLINOIS,834,269,"1,103",
INDIANA,354,405,759,
IOWA,290,16,306,
KANSAS,681,89,770,
KENTUCKY,858,169,"1,027",
LOUISIANA,"2,867",615,"3,482",
MAINE,484,178,662,
MARYLAND,746,276,"1,022",
MASSACHUSETTS,"1,270",89,"1,359",
MICHIGAN,"1,450",319,"1,769",
MINNESOTA,617,109,726,
MISSISSIPPI,"1,081",275,"1,356",
MISSOURI,"1,982",298,"2,280",
MONTANA,88,14,102,
NEBRASKA,325,202,527,
NEVADA,541,374,915,
NEW HAMPSHIRE,282,53,335,
NEW JERSEY,"1,615",101,"1,716",
NEW MEXICO,D,22,H,
NEW YORK,"2,316",128,"2,444",
NORTH CAROLINA,"1,782",156,"1,938",
NORTH DAKOTA,283,62,345,
OHIO,"1,548",296,"1,844",
OKLAHOMA,"1,104",270,"1,374",
OREGON,"1,288",211,"1,499",
PENNSYLVANIA,"2,262",306,"2,568",
RHODE ISLAND,131,24,155,
SOUTH CAROLINA,"1,190",160,"1,350",
SOUTH DAKOTA,711,109,820,
TENNESSEE,425,137,562,
TEXAS,"12,646","2,164","14,810",
UTAH,932,234,"1,166",
VERMONT,173,58,231,
VIRGINIA,"15,525","1,086","16,611",
WASHINGTON,882,422,"1,304",
WEST VIRGINIA,44,20,64,
WISCONSIN,462,55,517,
WYOMING,101,D,H,
Grand Total,"79,596","12,294","91,890",
